nombre,apellido,carrera,nota,correo,edad
L***a,P***z,I******************l,16.5,l***@unaj.edu.pe,18-29
J**n,H****n,A************************s,14.2,j***@unaj.edu.pe,18-29
M***a,C***a,E****************a,17.8,m***@unaj.edu.pe,18-29
P***o,Q****e,I********************s,13.9,p***@unaj.edu.pe,18-29
R****a,M****i,C**********d,18.1,r***@unaj.edu.pe,18-29
L**s,C****e,I********************a,15.0,l***@unaj.edu.pe,18-29
C***a,C*****i,I**************l,19.2,c***@unaj.edu.pe,18-29
D***o,A***a,E******a,12.8,d***@unaj.edu.pe,18-29
A****a,F****s,T************l,16.7,a***@unaj.edu.pe,18-29
M****l,C***i,A**********a,14.5,m***@unaj.edu.pe,18-29
S**a,Q****e,I***************l,15.3,s***@unaj.edu.pe,18-29
R***o,C**********a,I*******************l,17.4,r***@unaj.edu.pe,18-29
D***a,L*****e,A********************a,16.1,d***@unaj.edu.pe,18-29
O***r,C****o,I********************a,13.4,o***@unaj.edu.pe,18-29
Y*****a,T***o,E***************l,18.7,y***@unaj.edu.pe,18-29
C***r,H******i,I********************e,17.9,c***@unaj.edu.pe,18-29
N****y,P**a,C**********d,15.8,n***@unaj.edu.pe,18-29
E***k,L***e,I*******************************s,19.5,e***@unaj.edu.pe,18-29
K***a,C***a,P********a,14.7,k***@unaj.edu.pe,18-29
D***d,H****o,I***********************l,16.9,d***@unaj.edu.pe,18-29
